Minutes,Homes for Change Housing Co-operative Ltd,1995-2000,1001,10.1,1,,1 file,good,,
Homes for Change phase 2,Homes for Change Housing Co-operative Ltd,1995-2000,1002,10.2,1,,1 file,not very good,,
Publications and Leaflets,Homes for Change Housing Co-operative Ltd,1995-2000,1003,10.3,1,,1 file,good,,
Homes for Change - November 1994,"Stephen G Wickham, University of the West of England, Bristol",1994,1401,14.1,2,,1 volume,good,,
Publications,Homes for Change Housing Co-operative Ltd,1990-1995,1403,14.3,2,,1 file,good,,
Minutes,Homes for Change Housing Co-operative Ltd,1990-1995,1404,14.4,2,,1 file,good,,
Tenants Information,Homes for Change Housing Co-operative Ltd,1995,1405,14.5,2,,1 file,good,? Tenants information pack ? ,
Floor Plans,Homes for Change Housing Co-operative Ltd,1993,1406,14.6,2,,1 file,good,?,
Photographs,Homes for Change Housing Co-operative Ltd,1993,1407,14.7,2,,1 enveloppe,good,All of the photographs,
Advertising,"The Guinness Trust, Homes for Change Housing Co-operative Ltd",1996,1408,14.8,2,,1 file,not very good,Homes for Change presentation leaflet,
"Minutes, newsletters",Work for Change,1995-2000,1301,13.1,3,,1 file,good,Homes for Change newsletter 26 08 1999,
Minutes,Work for Change,1995-2000,1302,13.2,3,,1 file,good,,
Minutes,Work for Change,1995,1303,13.3,3,,1 file,good,,
"Minutes, Publications, Floor Plans",Work for Change,1995-2001,1304,13.4,3,,1 file,good,"Site plan, Project diagram, Information leaflet, ? ""infopack"" ?",
Minutes,Hulme Regeneration Limited,1995-2000,1501,15.1,4,"
See also items 9.1 to 9.9",1 file,good,,
"Homes for Change - Hulme City Challenge, Tenants Representatives' Year Two Review : 93/94",Hulme City Challenge,1994,1502,15.2 (1),4,,1 volume,good,,
City Challenge …A Response from the Hulme community,Hulme Tenants Alliance,1991,1503,"15,2 (2)",4,,1 volume,good,,
"Hulme Tenants Alliance establishment, Hulme Alliance of Tenants and Residents - Towards a Sustainable Community Plan for Hulme (draft 2001)",Hulme Tenants Alliance,1984; 2001,1504,"15,3",4,,2 items,good,,
Minutes,Moss Side and Hulme Community Development Trust,1992,1701,17.1,4,,1 file,good,Trust Vision,
Publications and Projects,Moss Side and Hulme Community Development Trust,1990-1995,1702,17.2 (1),5,,1 file,good,,
Publications and Projects,Moss Side and Hulme Community Development Trust,1990-1995,1703,17.2 (2),5,,1 file,good,,
Newspapers,Several,1990-1995,1704,17.3,5,,1 file,good,Moss Side & Hulme Trust Newsletter - February 1992 issue 2,
Leaflets and newspapers,Several,1995-2000,1601,16.1 (1),6,,1 file,good,"Hulme - Reasons to be cheerful in Manchester Evening News 25 march 1997 (scan of the B&W photocopy), Newsletter of Hulme Regeneration LTD June 1994",
Leaflets and newspapers,Several,1995-2000,1602,16.1 (2),6,,1 file,good,,
"Minutes and maps, publication",Several,1999-2000,1603,16.2 (1),6,,1 file,good,,
"Minutes and maps, publication",Several,1999-2000,1604,16.2 (2),6,,1 file,good,,
Photographs,unknown,1990's,1605,16.3,6,,1 file,good,All of the photographs,
"Maps, plans",Various,1995-2000,1606,16.4,6,See also items 9.1 to 9.9,1 file,good,,
New High Street Development for Hulme City Challenge,Hulme Regeneration Limited,1993,1607,16.5,6,,1 item,good,,
"Minutes, Correspondance",Several,1990-1999,1901,19.1,7,,1 file,good,Hulme Park phase 2 programme - draft 2,
Commissions,Moss Side & Hulme Partnership,1998,1902,19.2,7,,1 file,good,,
Administration,Several,1998-1999,1903,19.3,7,,1 file,good,"Guiness Trust Donation for Art in the Park, Hulme Park opening, Briefs for art commissions of Hulme Park. ",
Background work for Manchester Guide to Development,"URBED, Manchester City Council",1994,1101,11.1 (1),8,,1 file,not very good,Rediscovering the City - A Guide To Development (draft),
Background work for Manchester Guide to Development,"URBED, Manchester City Council",1994,1102,11.1 (2),8,,1 file,not very good,,
Minutes,"URBED, Manchester City Council",1994,1103,11.2,8,,1 file,good,,
Background work for Manchester Guide to Development,"URBED, Manchester City Council",1994,1104,11.3,8,,1 file,not very good,Manchester Guide to Development,
bLoOm administration and leaflets,bLoOm ,1997,901,9.1,9,See also items 15.1 to 15.2,1 file,good,,
bLoOm - Signs of Life book,bLoOm ,1995,902,9.2,9,See also items 15.1 to 15.2,1 file,good,Signs of Life leaflet,
Gaia - The Book,Gaia,1993,903,9.3,9,See also items 15.1 to 15.2,"1 volume, 1 draft",good,Gaia - The book,
Newspapers. Public Information Gazette (PIG),Several,1990's,905,9.5,9,See also items 15.1 to 15.2,1 file,good,"PIG (Public Information Gazette), Hulme Regeneration LTD",
Homocult,Homocult,1990-1995,908,9.8,9,See also items 15.1 to 15.2,1 file,good,All of the contents,
Photographs,"Gaia, bLoOm",1990's,909,9.9,9,See also items 15.1 to 15.2,1 file,good,All of the photographs,
"Gaia, bLoOm - Minutes","Gaia, bLoOm",1990's,904,9.4,10,See also items 15.1 to 15.2,1 file,good,,
Leaflets ,"Gaia, bLoOm",1990's,906,9.6,10,See also items 15.1 to 15.2,1 file,good,Information leaflet,
"Photographs, slides, exhibitions","Gaia, bLoOm",1990's,907,9.7,10,See also items 15.1 to 15.2,1 file,good,,
"Minutes, maps, plans",Several,1995-2000,1105,12.1,10,,1 file,good,,
Projects,Several,1995-2000,1106,12.2 (1),10,,1 file,good,Agreement for the commission of a public work of art,
Projects,Several,1995-2000,1107,12.2 (2),10,,1 file,good,,
"Photographs, negatives","David Rudlin, URBED",1990's,1108,12.3,10,,1 file,good,All of the contents,
"Hulme: What Happened Next, Urban Scrawl, Issue 2",URBED,Unknown,101,1.1,11,,1 volume,good,http://issuu.com/johnsampson/docs/urban_scrawl_issue_2?e=1351154/2618167,
